City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Myanaung,18.2833,95.3167,31.23,36,63,1.81,MM,1680059482
1,Cherskiy,68.75,161.3,-7.69,77,100,8.94,RU,1680059482
2,Cabo San Lucas,22.8909,-109.9124,21.95,61,40,1.54,MX,1680059483
3,George Town,5.4112,100.3354,30.96,74,20,2.57,MY,1680059483
4,Ilulissat,69.2167,-51.1,-27.42,89,5,2.24,GL,1680059484
5,Thompson,55.7435,-97.8558,-12.91,72,100,6.17,CA,1680059484
6,Vila Franca do Campo,37.7167,-25.4333,15.23,84,7,8.39,PT,1680059484
7,Hobart,-42.8794,147.3294,20.14,74,75,2.57,AU,1680059485
8,Hermanus,-34.4187,19.2345,14.89,73,100,2.9,ZA,1680059485
9,Jamestown,42.097,-79.2353,1.12,76,0,1.34,US,1680059485
10,Hay River,60.8156,-115.7999,-2.59,98,100,2.48,CA,1680059419
11,Stornoway,58.2093,-6.3865,7.98,94,100,3.6,GB,1680059277
12,Muzhi,65.3667,64.6667,-10.04,79,83,5.75,RU,1680059487
13,Novomichurinsk,54.0384,39.7479,6.02,76,100,6.78,RU,1680059487
14,Ternate,0.8,127.4,27.63,75,82,1.84,ID,1680059488
15,Aksarka,66.5606,67.7975,-13.99,88,81,4.74,RU,1680059488
16,Teahupoo,-17.8333,-149.2667,27.98,76,95,3.66,PF,1680059488
17,Albany,42.6001,-73.9662,2.97,69,55,1.94,US,1680059368
18,Souillac,-20.5167,57.5167,24.57,79,72,2.38,MU,1680059489
19,Beringovskiy,63.05,179.3167,-0.69,98,100,5.26,RU,1680059489
20,Finspång,58.7058,15.7674,-1.41,81,100,2.63,SE,1680059384
21,Carutapera,-1.195,-46.02,24.16,93,100,1.84,BR,1680059492
22,Lüderitz,-26.6481,15.1594,15.62,66,0,6.87,NA,1680059492
23,Hilo,19.7297,-155.09,24.58,83,75,6.69,US,1680059223
24,Yar-Sale,66.8333,70.8333,-21.38,99,98,3.78,RU,1680059493
25,Codrington,-38.2667,141.9667,15.85,67,100,6.59,AU,1680059345
26,Ruteng,-8.6136,120.4721,23.59,64,93,0.1,ID,1680059493
27,Beyneu,45.3167,55.2,11.04,81,69,2.41,KZ,1680059494
28,Mar del Plata,-38.0023,-57.5575,23.94,64,0,5.66,AR,1680059494
29,Iqaluit,63.7506,-68.5145,-13.15,84,100,6.17,CA,1680059257
30,Bandarbeyla,9.4942,50.8122,26.43,79,92,2.26,SO,1680059495
31,Busselton,-33.65,115.3333,22.94,40,17,4.95,AU,1680059495
32,Saint-Philippe,-21.3585,55.7679,23.77,67,73,1.84,RE,1680059234
33,Barrow,71.2906,-156.7887,-11.99,85,100,8.23,US,1680059496
